name,rating,reviews,host_name,address,amenities,safety_rules,house_rules,price,guests,bedrooms,beds,bathrooms,check_in,check_out,country
A Frame Tiny Cozy Glamp: Wanderthirst Dharamshala,4.89,55.0,Adarsh,"Dharmshala, Himachal Pradesh, India","Garden view,Waterfront,Wifi,Free parking on premises,Pets allowed,Dryer,Private patio or balcony,Private backyard – Fully fenced,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,No smoke alarm,󱠆,Carbon monoxide alarm not reported Show more,Nearby lake, river, other body of water,Show more,Show more,","Check-in: 1:00 pm - 11:00 pm,Check out: 11:00 am,Self check-in with lockbox,Pets are allowed,󱤇,Smoking is allowed,Show more,Show more,",5705,2,1,1,1,1:00 pm - 11:00 pm,11:00 am,India
Cabin A Pahimis - private w/ pool & kitchen for 8,4.83,116.0,Froi,"Amadeo, Calabarzon, Philippines","Kitchen,Wifi,Dedicated workspace,Free parking on premises,Private outdoor pool,Air conditioning,Refrigerator,Microwave,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,No carbon monoxide alarm,󱠆,Smoke alarm not reported Show more,Pool/hot tub without a gate or lock,Show more,Show more,","Check-in: 2:00 pm - 4:00 pm,Check out: 12:00 pm,Self check-in with building staff,No pets,No parties or events,󱤇,Smoking is allowed,Show more,Show more,",14612,8,2,2,2,2:00 pm - 4:00 pm,12:00 pm,Philippines
Off-Grid Tiny A-Frame House and Campsite,4.87,23.0,Jaime,"Tanay, Calabarzon, Philippines","Garden view,Lake view,Kitchen,Wifi,Dedicated workspace,Free driveway parking on premises – 3 spaces,Pets allowed,Private patio or balcony,Private backyard – Fully fenced,Luggage drop-off allowed","󹀁,Airbnb's COVID-19 safety practices apply,Nearby lake, river, other body of water,Heights without rails or protection,May encounter potentially dangerous animals,Climbing or play structure,Show more,Show more,","Check-in: 2:00 pm - 8:00 pm,Check out: 12:00 pm,Self check-in with keypad,Not suitable for infants (under 2 years),No smoking,No parties or events,Pets are allowed,Show more,Show more,",8929,15,1,1,1,2:00 pm - 8:00 pm,12:00 pm,Philippines
"Kızılkaya bungalow houses, my home",4.71,21.0,Kemal,"Geyve, Sakarya, Turkey","Mountain view,Garden view,Kitchen,Dedicated workspace,Free parking on premises,Pets allowed,TV,Private patio or balcony,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,󱠆,Carbon monoxide alarm not reported Show more,󱠆,Smoke alarm not reported Show more,Show more,Show more,","Check-in: 2:00 pm - 7:00 pm,Check out: 12:00 pm,Self check-in with lockbox,Pets are allowed,󱤇,Smoking is allowed",3763,4,1,1,5,2:00 pm - 7:00 pm,12:00 pm,Turkey
Villa Tuba,5.0,8.0,VillaTuba,"Muratpaşa, Antalya, Turkey","Courtyard view,Garden view,Public or shared beach access,Kitchen,Wifi – 49 Mbps,Dedicated workspace,Free parking on premises,Private pool,Private hot tub,Unavailable: Carbon monoxide alarmCarbon monoxide alarm","󹀁,Airbnb's COVID-19 safety practices apply,󱠆,Carbon monoxide alarm not reported Show more,Pool/hot tub without a gate or lock,Nearby lake, river, other body of water,Smoke alarm,Show more,Show more,","Check-in: After 2:00 pm,Check out: 10:00 am,Self check-in with lockbox,No smoking,No pets,No parties or events",22758,6,2,2,1,After 2:00 pm,10:00 am,Turkey
VADİ BUNGALOV SAPANCA,4.9,52.0,Kenan,"Sapanca, Sakarya, Turkey","Garden view,Mountain view,Lake access,Kitchen,Wifi,Dedicated workspace,Free residential garage on premises – 3 spaces,Private outdoor pool – available all year, open 24 hours,Pets allowed,Security cameras on property","󹀁,Airbnb's COVID-19 safety practices apply,Security camera/recording device Show more,Carbon monoxide alarm,Smoke alarm,Show more,Show more,","Check-in: 2:00 pm - 9:00 pm,Check out: 11:00 am,Pets are allowed,󱤇,Smoking is allowed,Show more,Show more,",11289,4,1,1,1,2:00 pm - 9:00 pm,11:00 am,Turkey
AĞVA ÇINARHAN VİLLA GARDEN-Bahçe Jakuzili Bungalov,4.75,8.0,Ci̇hangi̇r,"İstanbul, Turkey","Courtyard view,Garden view,Public or shared beach access,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Private hot tub,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,󱠆,Carbon monoxide alarm not reported Show more,󱠆,Smoke alarm not reported Show more,Show more,Show more,","Check-in: 2:00 pm - 8:00 pm,Check out: 12:00 pm,Not suitable for children and infants,No smoking,No pets,No parties or events",7526,2,1,1,1,2:00 pm - 8:00 pm,12:00 pm,Turkey
Purkinora Bungalow,4.76,17.0,Faruk,"Dikkaya, Rize, Turkey","Mountain view,Resort view,Waterfront,Kitchen,Wifi,Dedicated workspace,Free parking on premises,TV with standard cable/satellite,Washing machine,Security cameras on property","󹀁,Airbnb's COVID-19 safety practices apply,Security camera/recording device Show more,Nearby lake, river, other body of water,Carbon monoxide alarm,Smoke alarm,Show more,Show more,","Check-in: After 11:00 am,Check out: 11:00 am,Self check-in with lockbox,No pets,󱤇,Smoking is allowed,Show more,Show more,",5018,2,2,2,,After 11:00 am,11:00 am,Turkey
A Glass Teepee Tiny House by the River,4.84,61.0,Jun,"Tanay, Calabarzon, Philippines","Pets allowed,Private patio or balcony,Garden,Indoor fireplace,Fire pit,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,󱠆,Carbon monoxide alarm not reported Show more,󱠆,Smoke alarm not reported Show more,Nearby lake, river, other body of water,Heights without rails or protection,Show more,Show more,","Check-in: 4:00 pm - 6:00 pm,Check out: 3:00 pm,No smoking,No parties or events,Pets are allowed,Show more,Show more,",2747,3,,1,,4:00 pm - 6:00 pm,3:00 pm,Philippines
Sioni Lake House,4.79,49.0,Nikoloz,"Sioni, Mtskheta-Mtianeti, Georgia","Garden view,Lake view,Public or shared beach access,Kitchen,Free parking on premises,Bath,Private patio or balcony,Private garden,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,No carbon monoxide alarm,No smoke alarm,Nearby lake, river, other body of water,Show more,Show more,","Check-in: 3:00 pm - 8:00 pm,Check out: 1:00 pm,No smoking,No pets,No parties or events,Show more,Show more,",6827,3,1,1,5,3:00 pm - 8:00 pm,1:00 pm,Georgia
Faith Bay Huts 1,4.97,38.0,Sofia,"Cabangan, Central Luzon, Philippines","Public or shared beach access – Beachfront,Free residential garage on premises,Pets allowed,Air conditioning,Refrigerator,Long-term stays allowed,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm","󹀁,Airbnb's COVID-19 safety practices apply,Security camera/recording device Show more,Nearby lake, river, other body of water,󱠁,Carbon monoxide detector not required Show more,Smoke alarm,Show more,Show more,","Check-in: 2:00 pm - 7:00 pm,Check out: 11:00 am,Pets are allowed",5529,2,1,1,,2:00 pm - 7:00 pm,11:00 am,Philippines
Sapanca Loft Bungalow,4.82,23.0,Rıdvan,"Sapanca, Sakarya, Turkey","Garden view,Mountain view,Kitchen,Dedicated workspace,Free driveway parking on premises,Pets allowed,TV,Central air conditioning,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,󱠆,Carbon monoxide alarm not reported Show more,󱠆,Smoke alarm not reported Show more,Show more,Show more,","Check-in: After 2:00 pm,Check out: 12:00 pm,Pets are allowed,󱤇,Smoking is allowed,Show more,Show more,",6924,6,2,2,1,After 2:00 pm,12:00 pm,Turkey
Enthralling Escapes with snow view mountains #,5.0,4.0,Harish,"Manali, Himachal Pradesh, India","Mountain view,Kitchen,Wifi,Pets allowed,HDTV,Bath,Private backyard – Fully fenced,Luggage drop-off allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,󱠆,Carbon monoxide alarm not reported Show more,󱠆,Smoke alarm not reported Show more,Show more,Show more,","Check-in: 12:00 pm - 2:00 pm,Check out: 10:00 am,No smoking,Pets are allowed,Show more,Show more,",3709,2,1,1,5,12:00 pm - 2:00 pm,10:00 am,India
New Chalets on Farm with Fireplace #6,4.93,15.0,Yaban Yasam,"Bolu, Turkey","Kitchen,Wifi,Dedicated workspace,Free parking on premises,TV,Washing machine,Free dryer – In building,Bath,Private patio or balcony,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,󱠆,Smoke alarm not reported Show more,Carbon monoxide alarm,Show more,Show more,",Check-in: After 3:00 pm,12845,6,2,2,1,After 3:00 pm,,Turkey
Sapancaguldibibugalov,4.96,26.0,Muhammet,"Sapanca, Sakarya, Turkey","Lake view,Mountain view,Public or shared beach access,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Private pool,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,No smoke alarm,Pool/hot tub without a gate or lock,Nearby lake, river, other body of water,󱠁,Carbon monoxide detector not required Show more,Show more,Show more,","Check-in: 2:00 pm - 2:00 am,Check out: 12:00 pm,Self check-in with lockbox,Pets are allowed,󱤇,Smoking is allowed",8128,4,1,1,5,2:00 pm - 2:00 am,12:00 pm,Turkey
sapanca Bungalife M,4.6,5.0,Kemal,"Memnuniye, Sakarya, Turkey","Kitchen,Free residential garage on premises,Private pool,Private hot tub,TV,Air conditioning,Private patio or balcony,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",No Safety Rules Provided,No House Rules Provided,15052,7,3,3,2,,,Turkey
Bungalows with private pools in touch with nature,,2.0,Emre,"Sapanca, Sakarya, Turkey","Lake view,Garden view,Kitchen,Wifi,Free residential garage on premises,Private pool,Private hot tub,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,󱠆,Carbon monoxide alarm not reported Show more,󱠆,Smoke alarm not reported Show more,Security camera/recording device Show more,Show more,Show more,","Check-in: 2:00 pm - 12:00 am,Check out: 12:00 pm,No pets,󱤇,Smoking is allowed",15604,4,1,1,1,2:00 pm - 12:00 am,12:00 pm,Turkey
sapancapanoramabungalow1,5.0,4.0,Seyfi,"Sapanca, Sakarya, Turkey","Mountain view,Valley view,Lake access,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Private hot tub,Pets allowed,Security cameras on property","󹀁,Airbnb's COVID-19 safety practices apply,Security camera/recording device Show more,Nearby lake, river, other body of water,Carbon monoxide alarm,Smoke alarm,Show more,Show more,","Check-in: 2:00 pm - 10:00 pm,Check out: 12:00 pm,Self check-in with lockbox,Pets are allowed,󱤇,Smoking is allowed",7476,4,1,1,1,2:00 pm - 10:00 pm,12:00 pm,Turkey
Coconut Tree House Udalo Mindoro,4.87,85.0,Jan Michael,"Abra de Ilog, MIMAROPA, Philippines","Beach access – Beachfront,Kitchen,Pets allowed,Patio or balcony,Garden,Refrigerator,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,󱠆,Carbon monoxide alarm not reported Show more,󱠆,Smoke alarm not reported Show more,Show more,Show more,","Check-in: Flexible,No smoking,Pets are allowed",1372,2,1,1,1,Flexible,,Philippines
"Sapanca Yura Bungalov-1 Havuzlu, Korunaklı,",5.0,9.0,Raşit,"Sapanca, Sakarya, Turkey","Lake access,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Private pool,Private hot tub – available all year, open 24 hours,42"" HDTV with Netflix, cable/satellite TV,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,No carbon monoxide alarm,No smoke alarm,Pool/hot tub without a gate or lock,Show more,Show more,","Check-in: After 2:00 pm,Check out: 11:00 am,No pets,󱤇,Smoking is allowed,Show more,Show more,",14771,4,1,1,1,After 2:00 pm,11:00 am,Turkey
Glass Teepee Village - River Glamping near Manila,4.9,20.0,Jun,"Tanay, Calabarzon, Philippines","Garden view,Mountain view,Waterfront,Free parking on premises,Pets allowed,Private patio or balcony,Shared garden,Fire pit,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,No carbon monoxide alarm,No smoke alarm,Nearby lake, river, other body of water,Heights without rails or protection,Show more,Show more,","Check-in: After 4:00 pm,Check out: 3:00 pm,Not suitable for infants (under 2 years),Pets are allowed,󱤇,Smoking is allowed,Show more,Show more,",8248,7,3,3,,After 4:00 pm,3:00 pm,Philippines
Bungalow Holiday Villa Gen with Private Pool and Jacuzzi,4.64,11.0,Fatih,"Kaş, Antalya, Turkey","Kitchen,Wifi,Dedicated workspace,Free parking on premises,Private pool,Private hot tub,TV,Washing machine,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,󱠆,Carbon monoxide alarm not reported Show more,󱠆,Smoke alarm not reported Show more,Show more,Show more,","Check-in: 4:00 pm - 11:00 pm,Check out: 10:00 am",7319,2,1,1,1,4:00 pm - 11:00 pm,10:00 am,Turkey
Kid and Pet Friendly Tiny House,5.0,7.0,Huseyin Zerder,"Avanos, Nevşehir, Turkey","Garden view,Mountain view,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Pets allowed,Paid washer – In building,Private patio or balcony,Security cameras on property","󹀁,Airbnb's COVID-19 safety practices apply,Security camera/recording device Show more,Carbon monoxide alarm,Smoke alarm,Show more,Show more,","Check-in: After 2:00 pm,Check out: 12:00 pm,Self check-in with lockbox,No smoking,Pets are allowed",4051,3,1,1,5,After 2:00 pm,12:00 pm,Turkey
SAPANCA ANL HILL BUNGALOW,4.75,4.0,Anıl,"Sapanca, Sakarya, Turkey","Bay view,City skyline view,Lake access,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Private pool,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,No carbon monoxide alarm,No smoke alarm,Pool/hot tub without a gate or lock,Show more,Show more,","Check-in: After 2:00 pm,Check out: 11:00 am,Pets are allowed,󱤇,Smoking is allowed",14551,4,1,1,1,After 2:00 pm,11:00 am,Turkey
A-Frame of Mind,5.0,8.0,Shivani And Avijeet,"Seetla, Uttarakhand, India","Garden view,Valley view,Kitchen,Wifi – 35 Mbps,Dedicated workspace,Free parking on premises,Pets allowed,Free washer – In unit,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,󱠆,Carbon monoxide alarm not reported Show more,󱠆,Smoke alarm not reported Show more,Show more,Show more,","Check-in: 2:00 pm - 10:00 pm,Check out: 11:00 am,No smoking,Pets are allowed",7418,2,1,1,1,2:00 pm - 10:00 pm,11:00 am,India
Dinosaurs  Resort 3BHK AC CABIN,,,Udaykumar,"Lonavla, Maharashtra, India","Lake view,Mountain view,Waterfront,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Private pool,Pets allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm","󹀁,Airbnb's COVID-19 safety practices apply,󱠆,Carbon monoxide alarm not reported Show more,Smoke alarm,Show more,Show more,","Check-in: After 3:00 pm,No smoking,Pets are allowed,Show more,Show more,",15975,7,3,3,5,After 3:00 pm,,India
Sapanca Nature Bungalow Suite with Pool and Jacuzzi,,1.0,Sevgi,"Sapanca, Sakarya, Turkey","Mountain view,Garden view,Kitchen,Wifi,Free parking on premises,Pool,Private hot tub,Pets allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,󱠆,Carbon monoxide alarm not reported Show more,󱠆,Smoke alarm not reported Show more,Show more,Show more,","Check-in: After 2:00 pm,Check out: 12:00 pm,Pets are allowed,󱤇,Smoking is allowed,Show more,Show more,",14049,4,1,1,1,After 2:00 pm,12:00 pm,Turkey
Moonshine Sapanca,,,Aleyna,"Sapanca, Sakarya, Turkey","Garden view,Mountain view,Lake access,Kitchen,Wifi,Free on-street parking,Pool,HDTV,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,󱠆,Carbon monoxide alarm not reported Show more,󱠆,Smoke alarm not reported Show more,Pool/hot tub without a gate or lock,Show more,Show more,","Check-in: After 2:00 pm,Check out: 11:00 am,No pets,No parties or events,󱤇,Smoking is allowed",17611,5,2,2,1,After 2:00 pm,11:00 am,Turkey
LOGIN OKINAWA -wood-,4.68,241.0,LoginOkinawa,"Onna-son, Kunigami-gun, Okinawa-ken, Japan","Resort view,Ocean view,Beach access – Beachfront,Kitchen,Wifi,Free parking on premises,Pets allowed,32"" TV,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm","󹀁,Airbnb's COVID-19 safety practices apply,No carbon monoxide alarm,Security camera/recording device Show more,Nearby lake, river, other body of water,Climbing or play structure,Show more,Show more,","Check-in: 4:00 pm - 12:00 am,Check out: 11:00 am,Self check-in with lockbox,No smoking,No parties or events,Pets are allowed,Show more,Show more,",13010,9,3,3,1,4:00 pm - 12:00 am,11:00 am,Japan
Hacienda Paragua,4.83,41.0,Edenbird,"Coron, MIMAROPA, Philippines","Pets allowed,Indoor fireplace,Smoking allowed,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,No carbon monoxide alarm,No smoke alarm,Show more,Show more,","Check-in: After 2:00 pm,Check out: 12:00 pm,No parties or events,Pets are allowed,󱤇,Smoking is allowed",4059,4,1,1,1,After 2:00 pm,12:00 pm,Philippines
Rich Bungalow in Maşukiye,5.0,10.0,Zengin,"Kartepe, Kocaeli, Turkey","Kitchen,Wifi,Free parking on premises,Pets allowed,TV,AC – split-type ductless system,Garden,Indoor fireplace: wood-burning,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,󱠆,Carbon monoxide alarm not reported Show more,󱠆,Smoke alarm not reported Show more,Show more,Show more,","Check-in: 2:00 pm - 9:00 pm,Check out: 12:00 pm,Pets are allowed,󱤇,Smoking is allowed,Show more,Show more,",6774,4,1,1,,2:00 pm - 9:00 pm,12:00 pm,Turkey
LAKERS BUNGALOV 3,,2.0,Gözde Nur,"Sapanca, Sakarya, Turkey","Garden view,Mountain view,Lake access,Kitchen,Wifi,Free parking on premises,Private hot tub,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,󱠆,Carbon monoxide alarm not reported Show more,󱠆,Smoke alarm not reported Show more,Security camera/recording device Show more,Show more,Show more,","Check-in: 2:00 pm - 2:00 am,Check out: 11:00 am,Pets are allowed",10035,3,1,1,1,2:00 pm - 2:00 am,11:00 am,Turkey
"Cozy Tiny House in Bagac, Bataan near Las Casas",4.68,25.0,Markus + Micah,"Bagac, Central Luzon, Philippines","Garden view,Lake view,Public or shared beach access – Beachfront,Kitchen,Wifi,Free parking on premises,Washing machine,Central air conditioning,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm","󹀁,Airbnb's COVID-19 safety practices apply,Security camera/recording device Show more,Nearby lake, river, other body of water,󱠁,Carbon monoxide detector not required Show more,Smoke alarm,Show more,Show more,","Check-in: 2:00 pm - 11:00 pm,Check out: 11:00 am,Self check-in with lockbox,No smoking,No pets,No parties or events",8135,5,2,2,1,2:00 pm - 11:00 pm,11:00 am,Philippines
A lemon Tree Hut  - Near Auroville,4.8,61.0,Karen,"Bommayapalayam  Near Auroville , Tamil Nadu, India","Kitchen,Wifi,Dedicated workspace,Free parking on premises,Washing machine,Garden,Luggage drop-off allowed,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,No carbon monoxide alarm,No smoke alarm,Security camera/recording device Show more,Show more,Show more,","Check-in: 11:00 am - 5:00 pm,Check out: 10:00 am,No pets,No parties or events,󱤇,Smoking is allowed,Show more,Show more,",1712,2,1,1,2,11:00 am - 5:00 pm,10:00 am,India
